Country,Actual,Predicted,Accuracy (%)
Iran,49939.95652173913,50977.391304347824,82.0334
Iraq,8171.578947368421,7620.0,82.0334
Ireland,18447.057142857142,44938.6,82.0334
Isle of Man,622.9411764705883,23109.58823529412,82.0334
Israel,43008.514285714286,35440.4,82.0334
Italy,259747.5641025641,229816.15384615384,82.0334
Jamaica,1331.6666666666667,99552.11111111111,82.0334
Japan,219962.57142857142,131471.61904761905,82.0334
Jersey,774.4,115603.05,82.0334
Jordan,18693.764705882353,17991.882352941175,82.0334
Kazakhstan,28920.0,28314.103448275862,82.0334
Kenya,9033.444444444445,15782.25925925926,82.0334
Kosovo,1137.5,1134.5,82.0334
Kuwait,18869.488372093023,15010.813953488372,82.0334
Kyrgyzstan,1830.7222222222222,7854.944444444444,82.0334
Laos,12429.866666666667,7413.2,82.0334
Latvia,5602.0625,5582.34375,82.0334
Lebanon,9619.344827586207,9412.448275862069,82.0334
Lesotho,495.6666666666667,577.1666666666666,82.0334
Liberia,932.875,934.125,82.0334
Libya,5580.0,8606.09090909091,82.0334
Liechtenstein,132.93103448275863,634.3448275862069,82.0334
Lithuania,14493.875,12679.34375,82.0334
Luxembourg,2619.3777777777777,1773.6222222222223,82.0334
Macao,1813.1363636363637,1799.5,82.0334
Madagascar,2550.25,2033.75,82.0334
Malawi,3734.3571428571427,4499.142857142857,82.0334
Malaysia,42923.318181818184,41505.545454545456,82.0334
Maldives,3228.3636363636365,3408.2272727272725,82.0334
Mali,1893.3529411764705,2285.0588235294117,82.0334
Malta,4104.382352941177,4099.794117647059,82.0334
Mauritania,596.4285714285714,929.1428571428571,82.0334
Mauritius,3667.625,3492.9375,82.0334
Mexico,189101.425,191173.275,82.0334
Moldova,6309.0,14988.9,82.0334
Monaco,211.14705882352942,211.47058823529412,82.0334
Mongolia,36853.857142857145,17376.619047619046,82.0334
Montenegro,2108.925925925926,10477.777777777777,82.0334
Montserrat,20.166666666666668,2747.8333333333335,82.0334
Morocco,114639.91176470589,70653.9705882353,82.0334
Mozambique,4007.277777777778,63159.11111111111,82.0334
Myanmar,25579.615384615383,22230.923076923078,82.0334
Namibia,1361.4782608695652,4726.391304347826,82.0334
Nauru,139.125,5087.5,82.0334
Nepal,19231.26923076923,16019.692307692309,82.0334
Netherlands,57926.606060606064,57541.666666666664,82.0334
New Caledonia,793.2608695652174,4056.086956521739,82.0334
New Zealand,7989.153846153846,3871.576923076923,82.0334
Nicaragua,1902.2142857142858,5585.5,82.0334
Niger,2471.1428571428573,2379.904761904762,82.0334
Nigeria,24853.666666666668,23179.285714285714,82.0334
North Macedonia,4495.461538461538,4146.2307692307695,82.0334
Northern Cyprus,961.8260869565217,1668.4347826086957,82.0334
Northern Ireland,11247.648648648648,17339.81081081081,82.0334
Norway,15550.258064516129,12268.870967741936,82.0334
Oman,4296.386363636364,12039.727272727272,82.0334
Pakistan,86487.26086956522,83075.17391304347,82.0334
Palestine,8188.1,10723.4,82.0334
Panama,9082.457142857143,9268.4,82.0334
Papua New Guinea,375.3076923076923,362.6923076923077,82.0334
Paraguay,4994.086956521739,5928.0,82.0334
Peru,46058.192307692305,41300.61538461538,82.0334
Philippines,53073.25,51146.45,82.0334
Poland,128847.69565217392,83917.34782608696,82.0334
Portugal,35906.22580645161,86587.51612903226,82.0334
Qatar,16244.702702702703,16139.567567567568,82.0334
Romania,50788.431818181816,125135.22727272728,82.0334
Russia,202205.23333333334,133998.53333333333,82.0334
Rwanda,4643.266666666666,3139.0333333333333,82.0334
Saint Helena,75.94117647058823,123.3529411764706,82.0334
Saint Kitts and Nevis,272.14285714285717,244.1904761904762,82.0334
Saint Lucia,351.125,297.625,82.0334
Saint Vincent and the Grenadines,158.35714285714286,327.5,82.0334
Samoa,862.7777777777778,477.6666666666667,82.0334
San Marino,422.1818181818182,427.6666666666667,82.0334
Sao Tome and Principe,225.2,69047.86666666667,82.0334
Saudi Arabia,96708.5,50358.425,82.0334
Scotland,31220.536585365855,27904.829268292684,82.0334
Senegal,6776.3125,5747.5,82.0334
Serbia,33181.346153846156,33150.153846153844,82.0334
Seychelles,739.918918918919,1002.8108108108108,82.0334
Sierra Leone,1071.157894736842,1718.0526315789473,82.0334
Singapore,25304.95,19411.45,82.0334
Sint Maarten (Dutch part),293.6666666666667,26986.166666666668,82.0334
Slovakia,17702.344827586207,17356.96551724138,82.0334
Slovenia,10191.645161290322,6171.1612903225805,82.0334
Solomon Islands,210.64285714285714,5840.214285714285,82.0334
Somalia,705.3333333333334,758.4666666666667,82.0334
South Africa,12919.0,68106.24242424243,82.0334
South Korea,159123.38095238095,89912.19047619047,82.0334
South Sudan,377.61538461538464,638.4615384615385,82.0334
Spain,178784.8,177217.16,82.0334
Sri Lanka,25909.464285714286,29094.464285714286,82.0334
Sudan,5785.473684210527,5820.736842105263,82.0334
Suriname,1395.8636363636363,28885.272727272728,82.0334
Sweden,34079.05882352941,20221.941176470587,82.0334
Switzerland,39287.96153846154,34529.61538461538,82.0334
Syria,636.7647058823529,4083.4117647058824,82.0334
Taiwan,6802.3,16923.7,82.0334
Tajikistan,826.7777777777778,3810.5555555555557,82.0334
Thailand,54000.85,32664.4,82.0334
Timor,1775.4166666666667,38734.25,82.0334
Togo,3649.4545454545455,2356.681818181818,82.0334
Tonga,643.5714285714286,1419.2857142857142,82.0334
Trinidad and Tobago,1213.4,1626.4,82.0334
Tunisia,13892.875,13845.1875,82.0334
Turkey,289717.1935483871,201123.5806451613,82.0334
Turks and Caicos Islands,231.06451612903226,76140.96774193548,82.0334
Tuvalu,51.375,6332.625,82.0334
Uganda,8532.578947368422,26222.57894736842,82.0334
Ukraine,18227.285714285714,18856.428571428572,82.0334
United Arab Emirates,90298.70370370371,89548.88888888889,82.0334
United Kingdom,445670.48387096776,431630.03225806454,82.0334
United States,1820947.5135135136,1831980.2972972973,82.0334
Uruguay,31194.612903225807,28346.870967741936,82.0334
Uzbekistan,32833.9,32655.0,82.0334
Vanuatu,262.75,14676.0,82.0334
Venezuela,10563.84,9773.64,82.0334
Vietnam,18005.068965517243,14528.793103448275,82.0334
Wales,22790.46875,21364.09375,82.0334
Wallis and Futuna,88.88888888888889,4898.888888888889,82.0334
Yemen,5143.4,5647.3,82.0334
Zambia,2622.8333333333335,2727.0833333333335,82.0334
Zimbabwe,9072.142857142857,9212.607142857143,82.0334
