Country,Actual,Predicted,Accuracy (%)
Croatia,12596.34375,12635.25,99.8652
Cuba,153111.8,141171.8,99.8652
Curacao,1999.0,2083.625,99.8652
Cyprus,4121.555555555556,4098.37037037037,99.8652
Czechia,37181.5625,37633.96875,99.8652
Democratic Republic of Congo,665.4444444444445,654.4444444444445,99.8652
Denmark,19365.151515151516,19218.515151515152,99.8652
Djibouti,176.75,174.0,99.8652
Dominica,355.35483870967744,374.5483870967742,99.8652
Dominican Republic,66787.03703703704,66499.70370370371,99.8652
Ecuador,17863.414634146342,17376.29268292683,99.8652
Egypt,27137.433333333334,27287.633333333335,99.8652
El Salvador,16375.25,16247.8,99.8652
England,319673.3333333333,319275.55555555556,99.8652
Equatorial Guinea,3026.4285714285716,3172.8571428571427,99.8652
Estonia,5652.6,5591.342857142857,99.8652
Eswatini,1182.3333333333333,1231.5,99.8652
Ethiopia,25157.777777777777,25155.333333333332,99.8652
Faeroe Islands,241.125,390.0,99.8652
Falkland Islands,55.46666666666667,58.666666666666664,99.8652
Fiji,3199.3571428571427,2856.0714285714284,99.8652
Finland,19818.676470588234,20170.70588235294,99.8652
France,260066.89743589744,261812.94871794872,99.8652
French Polynesia,932.0,1165.0,99.8652
Gabon,417.6666666666667,703.8888888888889,99.8652
Gambia,420.0,432.88461538461536,99.86519999999999
Georgia,3429.64,3473.32,99.8652
Germany,434634.92307692306,429491.6923076923,99.8652
Ghana,12045.45,11330.05,99.8652
Gibraltar,537.2666666666667,579.4,99.8652
Greece,38172.05882352941,38252.617647058825,99.8652
Greenland,197.04166666666666,292.2083333333333,99.8652
Grenada,230.06896551724137,246.13793103448276,99.8652
Guatemala,4431.863636363636,4114.227272727273,99.8652
Guernsey,465.5882352941176,473.5,99.8652
Guinea,4702.210526315789,4611.789473684211,99.8652
Guinea-Bissau,475.0,687.5,99.8652
Guyana,2015.148148148148,2007.7777777777778,99.8652
Honduras,2027.125,2074.1875,99.8652
Hong Kong,25861.51851851852,25941.40740740741,99.8652
Hungary,53369.45945945946,52538.21621621621,99.8652
Iceland,1996.1052631578948,2154.2894736842104,99.8652
India,1425275.48,1391969.24,99.8652
Indonesia,188087.9642857143,188861.9642857143,99.8652
Iran,49939.95652173913,49850.69565217391,99.8652
Iraq,8171.578947368421,7078.789473684211,99.8652
Ireland,18447.057142857142,17956.97142857143,99.8652
Isle of Man,622.9411764705883,631.9117647058823,99.8652
Israel,43008.514285714286,46903.02857142857,99.8652
Italy,259747.5641025641,264360.2051282051,99.8652
