Country,Actual,Predicted,Accuracy (%)
Aruba,2113,27334,91.343
Bulgaria,7255,6824,91.343
Italy,186482,169141,91.343
Peru,30554,35695,91.343
India,490006,440666,91.343
Austria,51168,66693,91.343
Bahrain,14397,27941,91.343
Colombia,109233,132043,91.343
Greece,17463,20081,91.343
Ireland,4494,7115,91.343
Hungary,4426,8505,91.343
Scotland,38558,48774,91.343
Indonesia,386985,424148,91.343
Luxembourg,2242,9304,91.343
Ukraine,12414,20154,91.343
Argentina,105486,58297,91.343
Cambodia,100134,78305,91.343
South Korea,11328,11162,91.343
Hong Kong,13114,17749,91.343
Mexico,180825,198696,91.343
Chile,111382,45253,91.343
Hong Kong,35720,40668,91.343
Belgium,138825,119609,91.343
Guinea,1741,5866,91.343
India,1977848,1984225,91.343
Cayman Islands,531,12604,91.343
Latvia,1103,4250,91.343
Kenya,1535,11957,91.343
Indonesia,64187,52382,91.343
Trinidad and Tobago,6547,9485,91.343
New Zealand,1193,4573,91.343
France,279643,286315,91.343
Argentina,148571,134098,91.343
Norway,15668,36302,91.343
Chile,141893,86931,91.343
Slovakia,34473,38171,91.343
Israel,115297,65334,91.343
Czechia,53230,55428,91.343
Turkey,254877,244350,91.343
Norway,51353,52563,91.343
Ireland,21324,23012,91.343
Oman,1071,3813,91.343
Norway,27213,56276,91.343
France,481909,582431,91.343
Romania,27690,32507,91.343
Tunisia,24180,22365,91.343
Lebanon,5288,4738,91.343
Maldives,6572,23557,91.343
Georgia,6140,10277,91.343
Nigeria,10377,26685,91.343
Slovenia,4370,6325,91.343
Latvia,11237,24915,91.343
Spain,84889,92082,91.343
South Africa,6122,13550,91.343
Italy,86206,85511,91.343
Switzerland,63542,38452,91.343
Czechia,14660,8938,91.343
Belgium,17402,24451,91.343
Germany,680118,411214,91.343
Israel,125916,134821,91.343
Maldives,1443,8702,91.343
Scotland,5265,7491,91.343
Lebanon,17115,11364,91.343
Latvia,3608,9422,91.343
Lebanon,7101,14798,91.343
Poland,59495,76397,91.343
